Estimated Visits,Domain,Traffic share,Change,Global Rank,Avg. Visit Duration,Pages / Visit,Bounce Rate,AdSense
6744039,vh1.com,0.007506314%,-9.63%,"4,880",00:02:55,3.08,50.45%,
4310142,greyhound.com,0.007469554%,0.93%,"6,305",00:06:41,5.23,15.83%,
Estimated Visits,fanpop.com,0.007462792%,1.47%,1,483,00:00:54,3.71,60.73%,Yes
4203901,loopnet.com,0.007439742%,-1.05%,"5,335",00:05:36,7.31,47.25%,Yes
5816413,jobs.net,0.007420229%,2.55%,"5,777",00:02:54,3.04,46.50%,
4971027,tirerack.com,0.007413905%,15.00%,"5,038",00:06:38,8.41,25.35%,
7686398,mathworks.com,0.007360709%,13.27%,"4,931",00:07:38,3.76,44.48%,
10524253,wrike.com,0.007313905%,13.91%,"2,513",00:10:57,10.93,19.67%,
5540760,camelcamelcamel.com,0.007307025%,10.89%,"6,926",00:02:45,3.18,33.63%,Yes
4278960,peoplesmart.com,0.007304477%,3.72%,"7,150",00:02:50,4.04,28.86%,
4889738,dice.com,0.007242997%,1.77%,"4,319",00:04:58,6.35,46.98%,Yes
10160905,efukt.com,0.007211704%,-6.69%,"2,625",00:03:33,3.79,49.29%,
17231184,alohatube.com,0.007199185%,-10.09%,"1,062",00:13:49,8.18,21.74%,
4367727,theclymb.com,0.007166460%,16.03%,"5,891",00:04:44,9.68,27.42%,
6899337,flightaware.com,0.007147148%,-6.16%,"2,406",00:40:35,9.61,28.42%,Yes
4313673,greatschools.org,0.007103171%,-1.43%,"6,797",00:02:58,4.27,49.05%,Yes
4516419,petco.com,0.007072032%,14.48%,"6,281",00:03:50,5.06,38.12%,
9014134,ford.com,0.007038387%,-4.59%,"2,013",00:02:57,2.80,44.83%,
4123073,xtramath.org,0.006949314%,14.26%,"4,178",00:09:41,15.26,7.78%,
5191439,kroger.com,0.006899349%,-3.48%,"4,881",00:03:33,4.12,17.39%,
6716654,statcounter.com,0.006882962%,159.76%,"15,782",00:05:40,3.66,31.23%,
4393080,sierratradingpost.com,0.006874330%,7.69%,"4,648",00:05:40,9.14,37.87%,Yes
17271666,lego.com,0.006810679%,-3.61%,941,00:06:37,8.51,30.11%,
3785072,uverse.com,0.006793734%,-2.95%,"7,053",00:04:53,4.68,34.25%,
9068397,animetoon.tv,0.006769776%,19.40%,"4,157",00:11:41,3.93,37.13%,
5427767,coursesmart.com,0.006767348%,-12.11%,"2,322",00:15:35,20.54,27.48%,
10172803,vevo.com,0.006748433%,-2.93%,"3,641",00:05:50,3.78,49.32%,
4984361,narutoget.com,0.006741184%,10.48%,"8,320",00:06:50,2.83,35.30%,
17037026,imgchili.net,0.006659935%,-7.52%,"1,231",00:05:33,6.86,41.19%,
4043513,spirit.com,0.006612765%,-3.15%,"4,987",00:08:41,7.10,14.09%,
5874952,tvtropes.org,0.006596320%,-4.04%,"4,327",00:07:50,5.36,45.10%,Yes
3752441,vitals.com,0.006573413%,21.85%,"10,979",00:02:58,3.09,49.45%,Yes
4398161,safeway.com,0.006567300%,-8.32%,"4,147",00:03:53,4.96,34.90%,
3606813,sports.bovada.lv,0.006527437%,2.73%,"10,183",00:04:51,3.19,31.79%,
9880320,watchseries-online.ch,0.006524848%,20.53%,"3,710",00:05:47,5.53,22.21%,
3598265,mycokerewards.com,0.006520058%,-12.33%,"4,391",00:07:45,10.08,15.37%,
9423579,pururin.com,0.006504631%,15.65%,713,00:09:51,66.52,25.65%,
6993358,workflowy.com,0.006474294%,10.08%,"6,365",00:03:37,2.71,50.02%,
3537933,mrmlsmatrix.com,0.006471105%,-6.94%,"3,974",00:18:45,19.26,8.69%,
11172002,aparat.com,0.006455294%,-19.32%,"1,900",00:07:53,5.28,42.63%,
Estimated Visits,k2s.cc,0.006454725%,-12.50%,3,219,00:03:26,3.01,27.34%,
8119397,anilinkz.com,0.006381741%,6.83%,"4,408",00:09:46,4.30,26.55%,
3712731,anntaylor.com,0.006371857%,17.15%,"6,302",00:05:44,9.60,27.59%,
3724753,lordandtaylor.com,0.006360139%,17.90%,"8,339",00:05:36,7.90,31.98%,
4984461,nastygal.com,0.006357772%,14.03%,"3,978",00:05:33,12.30,26.20%,
3489819,menards.com,0.006334965%,3.80%,"6,007",00:05:44,8.28,23.34%,
3935785,mbusa.com,0.006286813%,6.94%,"5,248",00:04:49,9.33,26.19%,
4300545,avery.com,0.006284169%,3.75%,"5,799",00:04:31,5.29,22.31%,
3523269,sharebuilder.com,0.006253785%,-6.98%,"5,730",00:06:53,7.95,16.54%,
3685257,onekingslane.com,0.006233448%,-0.47%,"7,363",00:04:44,5.14,40.69%,
9904902,planetsuzy.org,0.006215677%,-9.33%,"1,888",00:08:54,11.93,28.78%,
7489363,lucidchart.com,0.006208386%,15.06%,"4,819",00:04:39,4.17,31.15%,
14597422,woothemes.com,0.006205507%,2.66%,"2,104",00:04:45,4.42,28.04%,
5461749,ravelry.com,0.006201440%,4.66%,"3,628",00:08:52,10.40,32.88%,
4889356,flightrising.com,0.006189284%,44.38%,"3,238",00:19:54,39.25,9.85%,Yes
3576244,listia.com,0.006175514%,-3.53%,"5,255",00:11:36,11.47,29.40%,Yes
9737978,filepuma.com,0.006166502%,-0.09%,"3,478",00:04:45,2.77,34.00%,Yes
13431141,nvidia.com,0.006162538%,4.59%,"2,171",00:02:43,3.17,37.60%,
3831208,fleaflicker.com,0.006158266%,-10.40%,"3,125",00:13:54,27.49,9.62%,
6833761,rememberthemilk.com,0.006150454%,3.02%,"4,968",00:03:55,4.58,42.42%,
10786265,geforce.com,0.006144569%,0.60%,"3,173",00:02:32,3.03,44.71%,
7777823,manualslib.com,0.006134437%,6.29%,"3,164",00:02:55,5.66,41.61%,Yes
11648589,alexa.com,0.006132056%,-9.14%,"2,796",00:02:45,3.03,42.32%,
19118984,alarabiya.net,0.006103403%,-7.78%,"1,782",00:04:31,3.93,32.02%,
3512518,lendingclub.com,0.006098316%,6.61%,"7,153",00:05:39,7.08,13.57%,
38161151,turbobit.net,0.006027317%,-5.16%,674,00:03:39,2.55,39.60%,
3780846,ideel.com,0.006000798%,-2.99%,"4,896",00:06:31,10.42,23.49%,
4351205,shoebuy.com,0.005998862%,5.74%,"6,283",00:03:39,6.39,46.18%,
3446464,classzone.com,0.005986884%,-4.77%,"6,451",00:03:41,5.40,28.95%,
10648243,runescape.com,0.005971942%,-2.24%,"2,531",00:03:48,2.75,38.84%,Yes
3403491,beenverified.com,0.005968638%,27.39%,"13,819",00:03:58,3.42,41.05%,
9245538,gog.com,0.005968412%,51.63%,"4,813",00:02:46,4.77,42.26%,
6418496,zapier.com,0.005952923%,4.17%,"4,858",00:04:42,4.62,48.77%,
4072178,livemixtapes.com,0.005932679%,7.50%,"7,330",00:05:49,5.09,35.01%,
5193873,bible.com,0.005898916%,-9.14%,"4,774",00:08:34,6.06,20.24%,
3665044,petfinder.com,0.005888312%,-2.12%,"5,090",00:06:38,10.26,30.95%,
3941524,clearslide.com,0.005863029%,3.05%,"6,598",00:19:41,8.37,28.03%,
Estimated Visits,vocabulary.com,0.005856500%,3.64%,4,906,00:02:13,4.13,72.21%,Yes
5060934,rosewholesale.com,0.005815597%,4.13%,"3,001",00:07:37,13.63,35.96%,
3331242,hotschedules.com,0.005797486%,-2.99%,"6,919",00:04:56,7.33,5.34%,
5227301,theawesomer.com,0.005782106%,13.39%,"8,975",00:03:41,2.72,50.89%,Yes
4468687,underarmour.com,0.005780985%,6.93%,"5,636",00:04:49,6.80,28.07%,
12476403,cloudflare.com,0.005777889%,10.20%,"2,676",00:06:37,5.85,26.57%,
3872264,komando.com,0.005746801%,12.50%,"7,672",00:04:37,4.97,32.83%,Yes
13903717,vidtomp3.com,0.005744588%,-0.79%,"1,124",00:08:40,12.05,15.29%,
3452423,idealist.org,0.005732971%,-0.01%,"7,943",00:04:31,5.56,47.67%,
14686317,cucirca.eu,0.005726674%,50.36%,"3,431",00:03:47,3.22,35.55%,
5849758,stacksocial.com,0.005717269%,7.28%,"7,466",00:02:55,3.31,31.20%,
3246576,caringbridge.org,0.005700339%,3.44%,"10,326",00:02:42,3.49,38.83%,
11097468,torrentday.com,0.005700070%,17.06%,"3,002",00:04:53,5.51,18.13%,
3576966,madewell.com,0.005691805%,9.82%,"6,918",00:04:50,7.17,27.51%,
3598052,townhall.com,0.005685107%,6.01%,"10,837",00:13:51,3.61,49.21%,Yes
11719766,hugefiles.net,0.005680012%,24.09%,"6,280",00:03:41,2.79,17.89%,
4440323,finviz.com,0.005663336%,60.58%,"14,797",00:06:49,4.27,35.21%,
29703347,mangafox.me,0.005655023%,-5.74%,272,00:03:49,17.54,46.94%,Yes
3312753,e-rewards.com,0.005624249%,12.58%,"8,424",00:05:43,6.89,31.38%,
3056695,games.pch.com,0.005609604%,-1.44%,"10,134",00:08:42,4.67,35.54%,
7320939,movreel.com,0.005607100%,21.66%,"6,651",00:03:39,3.05,11.27%,
3076711,myeclassonline.com,0.005572195%,9.57%,"8,316",00:06:34,10.14,9.50%,
13670885,video2mp3.net,0.005553221%,-6.94%,"1,151",00:07:43,11.44,16.45%,
3377524,midwayusa.com,0.005549581%,12.53%,"8,278",00:04:44,6.43,49.78%,
4523647,careers.peopleclick.com,0.005528876%,-9.51%,"4,317",00:05:50,7.67,42.71%,
3466006,games.disney.com,0.005499317%,21.80%,"13,038",00:09:34,3.29,38.80%,
5410921,uptodate.com,0.005495337%,10.27%,"5,919",00:04:56,5.11,46.46%,
12175432,eroprofile.com,0.005466734%,-2.80%,"1,024",00:08:48,18.25,45.15%,
22214068,a10.com,0.005450189%,9.76%,"1,021",00:06:31,5.14,44.63%,
5722610,habitrpg.com,0.005449201%,3.83%,"7,611",00:03:38,3.09,48.78%,
2980500,walmartmoneycard.com,0.005441914%,-8.37%,"7,860",00:07:49,5.85,8.29%,
3736550,squareup.com,0.005436804%,27.38%,"9,547",00:04:34,5.52,41.07%,
26928453,news.naver.com,0.005436301%,-5.82%,788,00:13:57,6.38,27.89%,
4448513,eastbay.com,0.005426585%,-9.10%,"3,902",00:04:43,7.99,30.62%,
5601531,funnyjunk.com,0.005409330%,-21.21%,"1,976",00:09:57,15.27,43.36%,
3108587,steepandcheap.com,0.005383993%,9.77%,"8,711",00:05:53,7.51,46.91%,
4413431,fri-gate.org,0.005356331%,29.89%,"10,881",00:02:35,3.94,44.00%,
29703042,pixiv.net,0.005346189%,8.54%,487,00:06:49,13.22,34.02%,Yes
3823127,expensify.com,0.005321107%,20.71%,"7,374",00:08:47,7.89,10.38%,
48718211,lenta.ru,0.005318669%,-19.67%,520,00:04:45,3.83,38.24%,
8269753,androidfilehost.com,0.005304894%,13.34%,"5,902",00:03:53,2.91,28.91%,Yes
Estimated Visits,trueactivist.com,0.005304375%,12.98%,11,744,00:00:28,1.13,89.78%,Yes
9552381,notdoppler.com,0.005298569%,15.43%,"4,255",00:04:56,3.09,47.06%,
2948904,newsela.com,0.005297468%,10.48%,"7,283",00:08:41,10.92,20.89%,
5501036,younow.com,0.005283658%,10.37%,"3,678",00:16:42,14.20,16.28%,Yes
5364513,surveygizmo.com,0.005280725%,11.13%,"5,766",00:03:51,3.50,39.07%,
6664861,whois.com,0.005225931%,0.77%,"5,221",00:02:55,2.56,31.53%,
6624377,bestblackhatforum.com,0.005212585%,-10.67%,"3,205",00:09:51,9.65,20.37%,
8048959,fasttech.com,0.005210275%,15.36%,"2,576",00:06:46,12.27,34.35%,
7228555,pluralsight.com,0.005169607%,20.43%,"4,575",00:04:38,4.48,35.13%,
3354258,gotomypc.com,0.005166769%,-2.26%,"10,820",00:03:57,3.58,15.97%,
3031109,5dimes.eu,0.005162680%,-17.05%,"6,762",00:08:58,9.66,44.17%,
2798213,paycomonline.net,0.005151485%,12.16%,"8,821",00:08:50,10.61,11.21%,
3728307,thesuperficial.com,0.005136639%,-5.13%,"5,033",00:06:56,13.78,46.17%,
9178363,warez-bb.org,0.005079200%,4.54%,"2,845",00:06:41,7.70,10.22%,
9435151,moddb.com,0.005071775%,-6.87%,"2,745",00:03:40,5.10,42.88%,
36110679,udn.com,0.005070406%,-0.95%,824,00:05:57,4.15,35.52%,
2897737,healthcaresource.com,0.005048488%,-8.26%,"7,178",00:04:55,6.56,47.04%,
3786957,truecar.com,0.005046324%,4.20%,"5,421",00:04:40,6.31,21.29%,
3535907,zumiez.com,0.005045059%,5.33%,"6,237",00:04:39,8.58,34.87%,
9088227,videarn.com,0.005030480%,-31.81%,"1,662",00:04:34,5.80,49.84%,
4428382,freepeople.com,0.005017028%,12.87%,"5,833",00:05:58,8.14,29.55%,
3733062,sporcle.com,0.004971119%,22.78%,"7,773",00:13:41,7.96,22.86%,Yes
3651333,yandy.com,0.004954268%,78.14%,"11,488",00:05:49,6.41,45.81%,
2943666,freedompop.com,0.004926364%,-10.73%,"7,650",00:05:39,6.59,27.33%,
3597912,eat24hours.com,0.004920335%,19.78%,"8,195",00:06:40,5.33,20.92%,
5348342,animeshow.tv,0.004885409%,26.40%,"9,407",00:08:40,3.36,42.09%,
2747068,sce.com,0.004874223%,-12.16%,"7,368",00:04:58,6.64,11.45%,
5705740,bada.tv,0.004842716%,-4.37%,"4,093",00:09:54,10.72,11.01%,
2952742,finishline.com,0.004814498%,-39.84%,"4,277",00:04:50,6.34,28.69%,
4988129,marketplace.secondlife.com,0.004786873%,0.77%,"2,953",00:15:31,20.23,21.92%,Yes
7713712,unfollowers.com,0.004777192%,-5.61%,"3,874",00:02:52,4.02,20.65%,Yes
2776060,adoptapet.com,0.004775972%,5.94%,"8,753",00:04:58,7.38,36.66%,
2862170,cheapassgamer.com,0.004772290%,3.76%,"12,215",00:04:51,4.07,41.39%,Yes
3069544,tracfone.com,0.004765883%,8.78%,"7,275",00:08:57,9.23,15.96%,
5518412,clips4sale.com,0.004744447%,-0.54%,"3,765",00:06:35,9.53,35.61%,
7842912,blockchain.info,0.004742655%,10.49%,"4,651",00:05:52,4.17,40.84%,
8341480,gaymaletube.com,0.004727983%,-19.28%,"2,782",00:06:58,4.11,14.71%,
9516917,swtor.com,0.004727339%,47.89%,"5,499",00:04:47,3.61,46.98%,
Estimated Visits,fox4kc.com,0.004727100%,89.66%,31,797,00:00:50,1.33,86.79%,Yes
4093700,census.gov,0.004715840%,33.33%,"5,437",00:03:36,3.75,46.76%,
2628123,sportsbook.ag,0.004703092%,4.63%,"12,757",00:05:40,4.46,31.41%,
25868434,google.iq,0.004691600%,-43.71%,679,00:08:43,6.81,26.07%,
2849175,vividseats.com,0.004683398%,-1.91%,"8,484",00:02:48,3.16,42.29%,
3228547,padmapper.com,0.004678455%,-3.76%,"6,285",00:08:34,9.93,24.13%,
2759498,jobs2careers.com,0.004673073%,-17.59%,"10,907",00:02:56,2.81,49.25%,Yes
9286089,pixabay.com,0.004667987%,20.47%,"2,773",00:05:46,8.81,29.13%,
14431052,pizap.com,0.004642210%,-10.11%,"1,678",00:07:49,4.50,18.02%,Yes
3243521,backcountry.com,0.004629990%,52.62%,"13,257",00:04:44,4.92,45.54%,Yes
2752288,ruelala.com,0.004624636%,-14.29%,"7,243",00:04:42,7.66,24.13%,
2890815,1point3acres.com,0.004617284%,14.24%,"11,716",00:07:40,6.02,43.91%,
2707823,academy.com,0.004609783%,19.91%,"10,860",00:04:38,6.56,31.08%,
2573118,netspend.com,0.004597520%,-4.61%,"10,018",00:05:47,5.41,13.48%,
17021400,toshiba.com,0.004573403%,-2.39%,"2,000",00:03:34,3.68,39.50%,
5795981,random.org,0.004565025%,10.01%,"6,615",00:02:40,3.96,44.11%,
2880751,subaru.com,0.004564706%,11.60%,"11,845",00:03:37,3.86,25.73%,
2605428,swinglifestyle.com,0.004522010%,0.35%,"8,149",00:11:52,9.09,10.44%,
70760353,google.hr,0.004519227%,-9.66%,287,00:10:36,7.75,31.49%,
3648176,bibme.org,0.004504163%,54.82%,"14,591",00:05:33,4.44,32.07%,Yes
9811220,imgbox.com,0.004489654%,-41.47%,"1,393",00:03:40,7.64,36.24%,
2876768,pacsun.com,0.004462924%,13.59%,"9,031",00:04:49,6.94,15.17%,
4115241,eventhubs.com,0.004459758%,29.10%,"14,457",00:02:59,2.64,47.69%,Yes
3430088,jcrew.com,0.004432513%,-2.23%,"6,155",00:04:58,8.74,29.85%,
3268815,raz-kids.com,0.004406793%,40.36%,"6,616",00:16:32,16.12,11.38%,
2751444,bathandbodyworks.com,0.004389763%,16.31%,"10,419",00:05:42,7.02,23.26%,
4485199,gettyimages.com,0.004377566%,37.31%,"9,281",00:05:46,6.75,36.43%,
15675609,google.com.kw,0.004358825%,2.73%,"1,462",00:10:37,6.50,30.00%,
2967153,ebags.com,0.004349580%,-9.33%,"7,527",00:05:48,6.85,40.64%,
7830389,istockphoto.com,0.004344262%,21.14%,"3,844",00:07:57,9.22,27.12%,
2911642,buycostumes.com,0.004316663%,84.29%,"16,411",00:03:54,5.88,21.63%,
5023601,yify.tv,0.004304905%,27.09%,"8,108",00:03:52,3.35,43.40%,
3751220,wevideo.com,0.004301278%,38.49%,"9,728",00:06:37,5.77,17.72%,
38416243,kenh14.vn,0.004292898%,16.16%,663,00:05:31,4.30,30.74%,
2389587,qualityhealth.com,0.004288952%,27.35%,"15,865",00:04:41,4.01,39.15%,Yes
8559162,globaltestmarket.com,0.004265770%,-10.44%,"2,073",00:05:38,3.72,35.99%,
6151620,greatandhra.com,0.004263107%,5.36%,"4,456",00:03:51,4.25,27.65%,Yes
2794064,strikeout.co,0.004251756%,5.90%,"12,381",00:11:42,4.37,13.07%,
2335798,auctionzip.com,0.004251550%,0.85%,"6,036",00:07:55,22.06,22.05%,Yes
Estimated Visits,nwanime.com,0.004250648%,-1.42%,6,163,00:07:34,3.77,37.68%,
5522242,starcitygames.com,0.004232809%,21.92%,"6,510",00:03:32,2.55,46.84%,Yes
3187355,aeropostale.com,0.004231810%,14.04%,"7,179",00:06:48,9.94,20.60%,
7093937,aq.com,0.004226339%,-1.93%,"4,452",00:07:43,5.06,29.82%,
20108732,autodesk.com,0.004222314%,6.58%,"1,426",00:03:47,3.63,37.46%,
3561921,fimfiction.net,0.004221089%,-12.20%,"6,727",00:10:42,7.28,28.42%,Yes
2577269,blive.kg,0.004206544%,-17.46%,"6,867",00:11:58,10.38,21.17%,Yes
2872937,hellosign.com,0.004186331%,1.77%,"11,445",00:06:39,4.16,19.96%,
2384178,weedmaps.com,0.004176733%,12.60%,"13,723",00:05:50,5.65,35.11%,
2618221,lonny.com,0.004175849%,-1.36%,"5,649",00:02:58,16.33,21.24%,Yes
5908477,rlsbb.com,0.004175625%,17.04%,"6,448",00:07:43,6.30,24.74%,
2519266,dollartree.com,0.004173821%,11.50%,"9,678",00:03:42,7.72,25.11%,
2445412,imleagues.com,0.004169464%,1.63%,"8,542",00:05:34,9.60,7.85%,Yes
5264987,airliners.net,0.004166279%,-5.33%,"5,052",00:04:44,4.99,42.87%,
2462824,corrlinks.com,0.004165492%,2.51%,"10,026",00:09:35,8.74,5.74%,
7285028,newalbumreleases.net,0.004162330%,2.60%,"4,649",00:02:42,3.17,32.65%,
9146834,cargocollective.com,0.004160461%,-1.98%,"3,080",00:02:41,5.13,45.45%,
7408090,emuparadise.me,0.004153601%,-3.65%,"3,469",00:05:52,6.55,26.00%,
2620727,payless.com,0.004152216%,8.75%,"10,435",00:04:47,6.25,16.65%,
2346992,rent.com,0.004147364%,-1.17%,"10,835",00:04:43,5.73,38.85%,Yes
2495709,arcamax.com,0.004146533%,-2.11%,"9,984",00:03:48,5.52,43.30%,Yes
5121610,shop.lego.com,0.004143822%,2.54%,"5,274",00:04:57,6.92,36.83%,
3988515,cia.gov,0.004124835%,8.21%,"8,866",00:04:37,4.43,46.06%,
3923375,whowhatwear.com,0.004108826%,-5.56%,"3,535",00:03:57,21.99,23.83%,Yes
2269377,tenmarks.com,0.004107942%,39.60%,"13,861",00:13:57,7.70,10.73%,
6075453,myfonts.com,0.004107704%,29.97%,"6,045",00:03:38,4.36,43.72%,
4432543,smogon.com,0.004107239%,12.43%,"2,911",00:09:59,42.52,18.82%,Yes
2649178,gilt.com,0.004102558%,-35.45%,"5,914",00:04:34,6.97,28.58%,
2300168,ziprealty.com,0.004100452%,20.30%,"13,311",00:05:39,7.64,41.97%,Yes
2223882,usdirectexpress.com,0.004076808%,8.83%,"10,274",00:03:47,9.30,4.51%,
5384511,123greetings.com,0.004073351%,7.38%,"6,256",00:05:52,4.53,38.89%,
3508368,allposters.com,0.004072747%,-1.18%,"6,855",00:04:56,6.99,44.45%,
14808649,hltv.org,0.004067242%,45.77%,"3,072",00:05:53,4.74,36.45%,Yes
2630240,hottopic.com,0.004066163%,12.39%,"9,427",00:05:54,6.04,33.54%,
8757865,videohive.net,0.004063295%,-4.37%,"2,817",00:07:56,9.18,33.61%,
2547897,punchbowl.com,0.004041440%,10.60%,"11,575",00:03:31,5.65,48.68%,Yes
2199597,masslottery.com,0.004038995%,14.09%,"19,282",00:02:40,2.86,46.54%,
2567447,keurig.com,0.004010659%,13.06%,"11,156",00:06:36,10.66,26.32%,
2207104,myaccountaccess.com,0.004008991%,8.79%,"10,438",00:04:46,8.60,7.02%,
286857065,uol.com.br,0.003980068%,30.55%,68,00:16:40,8.54,50.84%,
3641543,nanowrimo.org,0.003968309%,221.32%,"23,214",00:07:34,8.33,31.92%,
2232550,budsgunshop.com,0.003959935%,20.01%,"12,445",00:05:57,7.58,36.57%,
Estimated Visits,searchquotes.com,0.003958648%,-23.13%,5,899,00:01:50,2.18,66.07%,Yes
4352370,streamate.com,0.003951978%,-6.14%,"3,945",00:12:45,12.36,19.96%,
3401370,dashlane.com,0.003950057%,-1.51%,"9,908",00:05:46,2.87,36.57%,
2615668,carnival.com,0.003943817%,-15.70%,"6,913",00:07:49,5.39,26.54%,
22158499,yaske.to,0.003938969%,3.25%,"1,345",00:06:32,6.67,27.56%,
2398365,phschool.com,0.003931746%,5.66%,"14,051",00:03:52,4.19,47.50%,
3066365,paizo.com,0.003924098%,7.06%,"11,062",00:07:54,5.22,46.39%,
4724221,sendgrid.com,0.003917467%,15.46%,"7,232",00:05:45,6.33,41.33%,
2238366,brainpopjr.com,0.003885330%,12.34%,"11,652",00:07:44,8.51,17.86%,
6053139,appannie.com,0.003883972%,4.64%,"4,598",00:03:55,6.99,42.36%,
2857358,23andme.com,0.003873059%,23.24%,"9,137",00:07:59,9.68,22.93%,
2343063,movietickets.com,0.003862691%,2.34%,"14,634",00:02:37,4.18,40.43%,
2541008,toms.com,0.003858042%,6.29%,"9,759",00:04:41,8.24,25.32%,
2853867,choicehotels.com,0.003855207%,20.94%,"12,585",00:04:41,3.14,42.79%,
2717977,stylebistro.com,0.003849185%,5.77%,"6,267",00:02:43,12.22,30.48%,Yes
4194808,hornbunny.com,0.003847876%,5.07%,"6,803",00:05:37,4.79,37.33%,
2461654,apexvs.com,0.003839923%,0.96%,"9,874",00:06:42,6.64,8.98%,
3877115,rdio.com,0.003835646%,-1.98%,"7,986",00:06:47,4.85,32.11%,
14604964,123rf.com,0.003827941%,-15.13%,"1,801",00:03:39,5.22,42.84%,
2691712,sumdog.com,0.003818628%,-2.20%,"4,302",00:15:52,21.49,8.62%,
2592564,yext.com,0.003804242%,8.31%,"9,914",00:04:59,7.60,34.39%,
24761083,adp.com,0.003802259%,19.03%,758,00:02:34,2.76,43.53%,
26583932,shaadi.com,0.003797040%,10.32%,"1,153",00:08:57,13.09,20.65%,
13191415,maplestage.com,0.003791357%,16.14%,"2,621",00:05:54,4.30,16.43%,
2061948,estatesales.net,0.003786327%,19.16%,"14,490",00:06:49,6.77,26.43%,
2084667,studentloans.gov,0.003769680%,-23.06%,"6,687",00:13:39,10.46,19.09%,
2893708,kaptest.com,0.003768132%,13.05%,"9,573",00:03:37,3.89,35.79%,
4023751,digikey.com,0.003756709%,1.00%,"6,825",00:05:51,7.08,42.34%,
2563202,brooksbrothers.com,0.003753317%,12.12%,"10,747",00:03:52,6.09,36.48%,
2056885,txlottery.org,0.003752751%,5.01%,"17,242",00:02:38,3.72,31.43%,
3302944,freestockcharts.com,0.003752549%,13.22%,"4,863",01:19:07,25.46,7.72%,Yes
4000417,beliefnet.com,0.003744211%,2.91%,"7,961",00:02:34,5.26,48.04%,Yes
2575966,bluefly.com,0.003729455%,-0.53%,"9,489",00:03:52,7.58,42.65%,
4970948,ioffer.com,0.003718964%,-1.94%,"3,228",00:05:56,10.48,48.14%,Yes
2808728,tiffany.com,0.003695026%,-2.44%,"6,931",00:04:43,10.14,19.05%,
4416798,fantasti.cc,0.003690470%,-11.45%,"3,382",00:07:52,12.92,20.06%,
5320345,horoscope.com,0.003689569%,-0.52%,"4,673",00:02:40,3.07,50.55%,
2953950,funimation.com,0.003679013%,59.90%,"16,117",00:05:49,4.46,27.96%,Yes
Estimated Visits,investorplace.com,0.003678434%,-18.67%,9,188,00:01:50,3.80,22.04%,Yes
2626096,leafly.com,0.003675660%,17.30%,"13,514",00:03:40,5.17,42.30%,Yes
2410770,zennioptical.com,0.003670344%,-1.05%,"7,661",00:09:42,11.14,17.42%,
7228447,3movs.com,0.003655198%,-0.09%,"3,302",00:04:35,5.03,49.00%,
2234283,shop.mlb.com,0.003634377%,57.48%,"14,554",00:04:46,9.27,25.23%,
5058808,arcadeprehacks.com,0.003633915%,4.50%,"6,482",00:05:57,4.61,46.36%,
5746445,tonymacx86.com,0.003631598%,80.43%,"10,406",00:06:33,4.91,40.18%,Yes
2788036,jeep.com,0.003630663%,-7.16%,"8,053",00:04:58,8.31,24.88%,
3524590,zoom.us,0.003630444%,9.73%,"11,877",00:03:37,3.44,22.85%,
5498686,backpack.tf,0.003623797%,15.52%,"6,580",00:07:33,6.11,36.61%,Yes
3710987,padlet.com,0.003623145%,5.10%,"7,698",00:06:56,6.38,32.16%,
3750300,crucial.com,0.003609350%,20.98%,"10,415",00:04:38,4.38,31.52%,
2052743,jayski.com,0.003604227%,-1.11%,"17,329",00:09:38,3.79,40.11%,
2176255,poshmark.com,0.003584960%,17.43%,"11,183",00:07:35,10.85,38.46%,
1984551,paygonline.com,0.003578467%,-15.30%,"11,117",00:04:41,5.62,13.64%,
3856599,twilio.com,0.003547132%,15.28%,"7,451",00:05:43,6.95,36.55%,
2201467,colorado.gov,0.003532809%,3.22%,"10,935",00:04:48,7.82,34.63%,
6276333,designspiration.net,0.003530828%,8.69%,"3,153",00:08:42,15.61,28.32%,
168461749,google.pt,0.003505421%,-9.89%,118,00:08:50,6.96,30.35%,
8369025,iherb.com,0.003500249%,10.41%,"2,030",00:04:55,7.09,48.76%,
2531398,livecareer.com,0.003498511%,-1.02%,"9,394",00:04:43,6.57,20.65%,
2133488,noodletools.com,0.003493610%,42.33%,"14,682",00:09:40,9.68,20.22%,
1994238,farmers.com,0.003479372%,-1.40%,"11,816",00:05:41,6.68,31.18%,
3609899,jawbone.com,0.003460068%,7.87%,"7,829",00:03:43,4.65,42.31%,
1900724,efirstbank.com,0.003459347%,4.82%,"13,341",00:04:42,6.70,6.86%,
2224103,huckberry.com,0.003458600%,25.56%,"15,988",00:04:32,5.32,24.32%,
2284161,applyweb.com,0.003453611%,68.97%,"17,090",00:11:49,9.45,23.72%,
1869959,eppicard.com,0.003448746%,-6.78%,"12,241",00:02:54,6.63,5.21%,
5404475,merdb.cn,0.003435788%,-4.60%,"4,999",00:06:49,8.26,19.96%,
2094938,bonton.com,0.003431521%,1.21%,"9,778",00:04:56,10.00,44.15%,
1982175,arbitersports.com,0.003417715%,-0.98%,"9,555",00:06:38,11.64,8.26%,
6809579,netgear.com,0.003414307%,-3.06%,"4,347",00:02:50,3.22,45.37%,
4689009,palimas.com,0.003410928%,71.53%,"10,510",00:03:57,5.50,32.20%,
2193126,bonobos.com,0.003408969%,47.82%,"19,722",00:03:45,6.17,32.19%,
